timestamp,label,raw_A0,raw_A1,raw_A2,raw_A3,raw_A4,raw_D7,raw_D8,raw_D9,raw_D10,voltage_A0,voltage_A1,voltage_A2,voltage_A3,voltage_A4,voltage_D7,voltage_D8,voltage_D9,voltage_D10
2026-04-17 01:02:31,T,4095.000,4095.000,1418.000,2681.000,3493.000,145.000,28.000,329.000,331.000,3.300000,3.300000,1.142711,2.160513,2.814872,0.116850,0.022564,0.265128,0.266740
2026-04-17 01:02:48,T,4095.000,3889.000,1529.000,883.000,3168.000,79.000,4095.000,133.000,352.000,3.300000,3.133993,1.232161,0.711575,2.552967,0.063663,3.300000,0.107179,0.283663
22026-04-17 01:03:00,T,4095.000,4095.000,2363.000,2439.000,3628.000,231.000,4095.000,432.000,567.000,3.300000,3.300000,1.904249,1.965495,2.923663,0.186154,3.300000,0.348132,0.456923
2026-04-17 01:03:12,T,4095.000,1757.000,977.000,1261.000,1976.000,292.000,4095.000,177.000,339.000,3.300000,1.415897,0.787326,1.016190,1.592381,0.235311,3.300000,0.142637,0.273187
2026-04-17 01:03:15,T,4095.000,2583.000,1146.000,1479.000,1744.000,131.000,105.000,160.000,183.000,3.300000,2.081538,0.923516,1.191868,1.405421,0.105568,0.084615,0.128938,0.147473
2026-04-17 01:03:22,T,4095.000,2034.000,879.000,779.000,1512.000,99.000,93.000,161.000,187.000,3.300000,1.639121,0.708352,0.627766,1.218462,0.079780,0.074945,0.129744,0.150696
2026-04-17 01:03:25,T,4095.000,2827.000,1015.000,818.000,1677.000,89.000,4095.000,263.000,205.000,3.300000,2.278168,0.817949,0.659194,1.351429,0.071722,3.300000,0.211941,0.165201
2026-04-17 01:03:27,T,4095.000,2496.000,1185.000,1669.000,2463.000,44.000,4095.000,179.000,171.000,3.300000,2.011429,0.954945,1.344982,1.984835,0.035458,3.300000,0.144249,0.137802
2026-04-17 01:03:30,T,4095.000,2703.000,2131.000,1708.000,3023.000,42.000,4095.000,206.000,169.000,3.300000,2.178242,1.717289,1.376410,2.436117,0.033846,3.300000,0.166007,0.136190
2026-04-17 01:03:33,T,4095.000,3685.000,2703.000,1328.000,3104.000,169.000,4095.000,201.000,176.000,3.300000,2.969597,2.178242,1.070183,2.501392,0.136190,3.300000,0.161978,0.141832
2026-04-17 01:03:36,T,4095.000,3411.000,3025.000,1641.000,3963.000,103.000,76.000,245.000,279.000,3.300000,2.748791,2.437729,1.322418,3.193626,0.083004,0.061245,0.197436,0.224835
