timestamp,label,raw_A0,raw_A1,raw_A2,raw_A3,raw_A4,raw_D7,raw_D8,raw_D9,raw_D10,voltage_A0,voltage_A1,voltage_A2,voltage_A3,voltage_A4,voltage_D7,voltage_D8,voltage_D9,voltage_D10
2026-04-17 01:12:36,V,1436.000,4095.000,4095.000,2377.000,3799.000,128.000,4095.000,2587.000,667.000,1.157216,3.300000,3.300000,1.915531,3.061465,0.103150,3.300000,2.084762,0.537509
2026-04-17 01:12:40,V,3404.000,4095.000,4095.000,3576.000,3351.000,215.000,627.000,2352.000,357.000,2.743150,3.300000,3.300000,2.881758,2.700440,0.173260,0.505275,1.895385,0.287692
2026-04-17 01:12:44,V,4067.000,4095.000,4095.000,3889.000,3823.000,219.000,435.000,2484.000,213.000,3.277436,3.300000,3.300000,3.133993,3.080806,0.176484,0.350549,2.001758,0.171648
2026-04-17 01:12:47,V,4095.000,4095.000,4095.000,3676.000,4095.000,320.000,421.000,2445.000,507.000,3.300000,3.300000,3.300000,2.962344,3.300000,0.257875,0.339267,1.970330,0.408571
2026-04-17 01:12:50,V,1230.000,4095.000,4095.000,3772.000,3272.000,198.000,4095.000,2619.000,377.000,0.991209,3.300000,3.300000,3.039707,2.636777,0.159560,3.300000,2.110549,0.303810
2026-04-17 01:12:52,V,1745.000,4095.000,4095.000,3878.000,3753.000,240.000,4095.000,2687.000,771.000,1.406227,3.300000,3.300000,3.125128,3.024396,0.193407,3.300000,2.165348,0.621319
2026-04-17 01:12:54,V,1852.000,4095.000,4095.000,3573.000,3334.000,312.000,685.000,2537.000,489.000,1.492454,3.300000,3.300000,2.879341,2.686740,0.251429,0.552015,2.044469,0.394066
2026-04-17 01:12:56,V,1499.000,4095.000,4095.000,3431.000,3344.000,269.000,4095.000,2833.000,585.000,1.207985,3.300000,3.300000,2.764908,2.694799,0.216777,3.300000,2.283004,0.471429
2026-04-17 01:12:58,V,1468.000,4095.000,4095.000,3524.000,2664.000,189.000,4095.000,2786.000,663.000,1.183004,3.300000,3.300000,2.839853,2.146813,0.152308,3.300000,2.245128,0.534286
2026-04-17 01:13:00,V,1649.000,4095.000,4095.000,3440.000,2943.000,207.000,4095.000,2749.000,652.000,1.328864,3.300000,3.300000,2.772161,2.371648,0.166813,3.300000,2.215311,0.525421
2026-04-17 01:13:01,V,1563.000,4095.000,4095.000,3527.000,2923.000,198.000,4095.000,2923.000,607.000,1.259560,3.300000,3.300000,2.842271,2.355531,0.159560,3.300000,2.355531,0.489158
2026-04-17 01:13:04,V,1414.000,4095.000,4095.000,3277.000,2912.000,189.000,4095.000,2824.000,663.000,1.139487,3.300000,3.300000,2.640806,2.346667,0.152308,3.300000,2.275751,0.534286
2026-04-17 01:13:05,V,1367.000,4095.000,4095.000,3249.000,2797.000,204.000,4095.000,2757.000,655.000,1.101612,3.300000,3.300000,2.618242,2.253993,0.164396,3.300000,2.221758,0.527839
2026-04-17 01:13:07,V,1273.000,4095.000,4095.000,2877.000,2810.000,188.000,4095.000,2840.000,668.000,1.025861,3.300000,3.300000,2.318462,2.264469,0.151502,3.300000,2.288645,0.538315
2026-04-17 01:13:09,V,1371.000,4095.000,4095.000,2710.000,2807.000,202.000,4095.000,3249.000,761.000,1.104835,3.300000,3.300000,2.183883,2.262051,0.162784,3.300000,2.618242,0.613260
