timestamp,label,raw_A0,raw_A1,raw_A2,raw_A3,raw_A4,raw_D7,raw_D8,raw_D9,raw_D10,voltage_A0,voltage_A1,voltage_A2,voltage_A3,voltage_A4,voltage_D7,voltage_D8,voltage_D9,voltage_D10
2026-04-17 01:04:40,Y,4095.000,3177.000,3703.000,3468.000,4095.000,695.000,4095.000,823.000,746.000,3.300000,2.560220,2.984103,2.794725,3.300000,0.560073,3.300000,0.663223,0.601172
2026-04-17 01:04:45,Y,4095.000,2205.000,2712.000,2911.000,4095.000,811.000,4095.000,987.000,1262.000,3.300000,1.776923,2.185495,2.345861,3.300000,0.653553,3.300000,0.795385,1.016996
2026-04-17 01:04:48,Y,4095.000,2991.000,3902.000,3280.000,4095.000,791.000,4095.000,1167.000,1283.000,3.300000,2.410330,3.144469,2.643223,3.300000,0.637436,3.300000,0.940440,1.033919
2026-04-17 01:04:50,Y,4095.000,3412.000,4012.000,3793.000,4095.000,804.000,40.000,824.000,1055.000,3.300000,2.749597,3.233114,3.056630,3.300000,0.647912,0.032234,0.664029,0.850183
2026-04-17 01:04:52,Y,4095.000,3708.000,4095.000,3362.000,4095.000,775.000,4095.000,877.000,1044.000,3.300000,2.988132,3.300000,2.709304,3.300000,0.624542,3.300000,0.706740,0.841319
2026-04-17 01:04:55,Y,4095.000,3471.000,4095.000,3563.000,4095.000,752.000,4095.000,715.000,843.000,3.300000,2.797143,3.300000,2.871282,3.300000,0.606007,3.300000,0.576190,0.679341
2026-04-17 01:04:57,Y,4095.000,4095.000,4095.000,3993.000,4095.000,827.000,443.000,774.000,1128.000,3.300000,3.300000,3.300000,3.217802,3.300000,0.666447,0.356996,0.623736,0.909011
2026-04-17 01:05:04,Y,4095.000,2731.000,3509.000,3845.000,4095.000,790.000,77.000,552.000,816.000,3.300000,2.200806,2.827766,3.098535,3.300000,0.636630,0.062051,0.444835,0.657582
2026-04-17 01:05:10,Y,4095.000,3631.000,4095.000,4095.000,4095.000,1088.000,439.000,543.000,973.000,3.300000,2.926081,3.300000,3.300000,3.300000,0.876777,0.353773,0.437582,0.784103
2026-04-17 01:05:18,Y,4095.000,1755.000,2101.000,1609.000,4095.000,856.000,28.000,631.000,945.000,3.300000,1.414286,1.693114,1.296630,3.300000,0.689817,0.022564,0.508498,0.761538
